"StartDate","EndDate","Status","Duration..in.seconds.","Progress","RecordedDate","ResponseId","UserLanguage","DistributionChannel"
"Start Date","End Date","Response Type","Duration (in seconds)","Progress","Recorded Date","Response ID","User Language","Distribution Channel"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""duration""}","{""ImportId"":""progress""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""distributionChannel""}"
"2025-04-02 13:39:19","2025-04-02 13:41:49","IP Address","150","100","2025-04-02 13:41:49","R_7Vu4alMXmOMF18B","EN","email"
"2025-04-02 13:40:32","2025-04-02 13:44:40","IP Address","248","100","2025-04-02 13:44:41","R_1FIMEchHhz39JXQ","EN","email"
"2025-04-02 13:39:06","2025-04-02 13:45:25","IP Address","378","100","2025-04-02 13:45:26","R_4KruRvaC6IWeZLb","EN","email"
"2025-04-02 13:41:51","2025-04-02 13:45:34","IP Address","223","100","2025-04-02 13:45:35","R_6IXGWZfdOv7S2Tm","EN","email"
"2025-04-02 13:45:02","2025-04-02 13:51:32","IP Address","390","100","2025-04-02 13:51:33","R_1QJTQM4EbFccSUy","EN","email"
"2025-04-02 13:49:46","2025-04-02 13:54:12","IP Address","265","100","2025-04-02 13:54:12","R_6B6ZmktpRasyCw9","EN","email"
"2025-04-02 13:51:54","2025-04-02 13:54:15","IP Address","141","100","2025-04-02 13:54:16","R_3TiwQEDLSEq9rMJ","EN","email"
"2025-04-02 13:51:23","2025-04-02 13:56:56","IP Address","333","100","2025-04-02 13:56:57","R_8KjQ2xIUnEnrGY9","EN","email"
"2025-04-02 14:07:18","2025-04-02 14:10:52","IP Address","213","100","2025-04-02 14:10:53","R_4NVEjom5XIvLH6V","EN","email"
"2025-04-02 14:07:16","2025-04-02 14:11:03","IP Address","226","100","2025-04-02 14:11:03","R_490wjb8HVyaYwln","EN","email"
"2025-04-02 14:08:36","2025-04-02 14:12:03","IP Address","207","100","2025-04-02 14:12:03","R_2iEWblrVMhHWZpe","EN","email"
"2025-04-02 14:11:52","2025-04-02 14:19:24","IP Address","452","100","2025-04-02 14:19:25","R_8flsjWc2FVlIy3M","EN","email"
"2025-04-02 14:14:36","2025-04-02 14:19:38","IP Address","301","100","2025-04-02 14:19:39","R_2JJ0ylRv6Yyr7oo","EN","email"
"2025-04-02 14:16:20","2025-04-02 14:21:04","IP Address","283","100","2025-04-02 14:21:04","R_7gSF7B5LC1EwoRt","EN","email"
"2025-04-02 14:28:35","2025-04-02 14:34:24","IP Address","348","100","2025-04-02 14:34:24","R_8MdJZs97pn94V1v","EN","email"
"2025-04-02 14:48:37","2025-04-02 14:52:55","IP Address","257","100","2025-04-02 14:52:55","R_6zsNKQFZg03GJqN","EN","email"
"2025-04-02 15:10:48","2025-04-02 15:19:26","IP Address","518","100","2025-04-02 15:19:26","R_3i6sh6uOrtQjb2x","EN","email"
"2025-04-02 15:19:34","2025-04-02 15:22:48","IP Address","193","100","2025-04-02 15:22:49","R_1UP3mMDPmsGyeOJ","EN","email"
"2025-04-02 16:51:38","2025-04-02 16:55:06","IP Address","208","100","2025-04-02 16:55:07","R_8pYl1aAQhp28FIl","EN","email"
"2025-04-02 17:28:56","2025-04-02 17:38:00","IP Address","543","100","2025-04-02 17:38:00","R_8NzEN7zYswVXLqt","EN","email"
"2025-04-02 19:19:31","2025-04-02 19:21:06","IP Address","94","100","2025-04-02 19:21:07","R_72N4VAzlza5ns2d","EN","email"
"2025-04-02 20:43:08","2025-04-02 20:50:01","IP Address","413","100","2025-04-02 20:50:01","R_3Rr4vYUqM2dSS7N","EN","email"
"2025-04-02 21:18:48","2025-04-02 21:24:57","IP Address","368","100","2025-04-02 21:24:57","R_3LO8U9RBIgEy6Hv","EN","email"
"2025-04-02 22:15:51","2025-04-02 22:22:13","IP Address","381","100","2025-04-02 22:22:13","R_3WQMlAWPM8za8W5","EN","email"
"2025-04-03 13:41:42","2025-04-03 13:50:04","IP Address","501","100","2025-04-03 13:50:04","R_2r2M1swP8pXzuJQ","EN","email"
"2025-04-05 14:31:48","2025-04-05 14:43:00","IP Address","672","100","2025-04-05 14:43:01","R_8oZVUxbXftKw8ji","EN","email"
"2025-04-07 01:40:18","2025-04-07 01:55:04","IP Address","886","100","2025-04-07 01:55:04","R_7c7TFg9hT41uGAJ","EN","email"
"2025-04-10 11:34:36","2025-04-10 11:37:50","IP Address","194","100","2025-04-10 11:37:50","R_8flmH2iRl0j2gr5","EN","email"
"2025-04-14 11:08:58","2025-04-14 11:19:12","IP Address","614","100","2025-04-14 11:19:12","R_3nl4yEscS9s9XAH","EN","email"
"2025-04-17 18:14:31","2025-04-17 18:18:12","IP Address","221","100","2025-04-17 18:18:12","R_8ISg2P8gyIC6OZi","EN","email"
"2025-03-20 11:07:05","2025-03-20 11:09:31","IP Address","145","80","2025-04-20 12:09:40","R_9Pc7FkKpbHcCJ1o","EN","email"
"2025-03-20 11:07:22","2025-03-20 11:10:11","IP Address","169","93","2025-04-20 12:10:13","R_9DDhYu1lBzw5M2t","EN","email"
"2025-03-20 11:03:22","2025-03-20 11:22:25","IP Address","1142","80","2025-04-20 12:22:26","R_4qyUOBUdSQmMNab","EN","email"
"2025-03-20 11:20:57","2025-03-20 11:29:37","IP Address","519","93","2025-04-20 12:29:37","R_88XxGv5EmIP1vc5","EN","email"
"2025-03-20 11:51:26","2025-03-20 11:53:54","IP Address","147","80","2025-04-20 12:53:56","R_2DURHWF5PzWKEF5","EN","email"
"2025-03-20 12:44:25","2025-03-20 12:46:21","IP Address","116","60","2025-04-20 13:46:25","R_4OQ5WYs0pqWmZUe","EN","email"
"2025-03-20 13:18:20","2025-03-20 13:30:48","IP Address","747","93","2025-04-20 14:30:48","R_3vSl4f3YK3WadJ7","EN","email"
"2025-03-20 15:37:23","2025-03-20 15:41:37","IP Address","254","93","2025-04-20 16:41:40","R_24C4aWj2o0pP0bO","EN","email"
"2025-03-20 11:17:40","2025-03-20 15:59:59","IP Address","16938","80","2025-04-20 17:00:01","R_8e4Rnk7bNNLThiH","EN","email"
